distance,size,num_of_rooms,floor,price
4688,106,3,10,635000
6660,75,2,4,179000
2402,66,2,2,209000
4688,130,3,6,430000
1540,146,5,2,319000
4688,56,2,29,335000
1658,58,2,5,240000
4688,69,2,5,309900
2973,71,3,3,225000
7014,63,3,9,163000
8751,69,3,1,131000
6073,78,3,13,150000
8751,104,4,2,135000
6554,51,2,4,133000
3974,40,2,1,111500
6554,45,2,1,130000
6554,37,2,1,110000
6660,42,2,2,120000
3796,41,2,1,109000
5302,51,2,4,143000
2976,34,2,1,105000
3796,50,2,9,149000
4084,43,2,8,118000
6554,51,2,4,133000
2174,34,2,5,109000
7014,46,2,19,105000
3473,60,3,1,154900
4553,74,3,1,158000
3230,39,2,0,137305
3230,38,2,0,133280
5302,66,3,4,155000
4593,46,2,3,129000
7524,54,2,5,125500
3511,48,3,4,134900
3511,48,3,4,134900
4462,48,3,4,134900
7014,63,3,1,139900
6660,75,3,8,154900
6554,75,3,17,156900
4759,37,1,5,120000
3719,48,1,13,132000
2973,44,1,16,131000
1540,44,2,18,109000
2645,66,3,-1,149000
3062,70,3,4,139000
4462,46,3,5,120000
2462,62,3,-1,124000
347,48,3,0,149999
2462,51,3,3,133000
1540,47,1,0,122000
4546,42,1,5,105000
6554,65,2,2,157000
5174,58,3,4,105000
3763,35,1,5,128000
1540,43,2,1,150000
2645,36,1,1,140800
3230,37,1,5,150000
2462,36,1,3,108000
2462,38,1,2,126000
2402,33,1,6,129000
4546,50,2,16,150000
7014,83,3,7,159900
5174,58,3,4,103900
2976,55,2,4,159650
2976,35,1,1,125000
2462,34,1,4,120000
2645,47,1,5,150000
4071,31,1,2,133000
672,38,2,6,150000
2973,44,1,16,131000
6073,30,1,1,102000
603,30,1,6,119000
2402,33,1,2,129000
3091,53,2,3,139000
3796,57,2,8,149000
5174,58,3,1,117000
7524,72,3,1,149000
347,75,3,0,155000
3062,42,2,4,150000
2402,51,2,5,158000
4593,55,2,4,136875
4593,60,2,1,153000
3473,59,3,8,145000
4593,50,3,2,130000
5302,54,2,7,153000
3473,59,3,8,145000
7014,66,2,8,150000
3473,57,2,2,132000
3091,48,2,4,134900
6073,61,2,6,160000
3763,54,2,2,148900
3763,54,2,3,148900
4462,47,2,1,139900
7014,74,3,17,150000
6073,66,3,1,150000
6660,66,2,4,132000
4462,60,2,1,132000
5174,58,3,4,104000
7524,53,3,1,118500
2783,62,3,19,159000
2462,53,3,-1,140000
4071,32,1,2,133000
3200,45,2,1,139000
7014,69,3,11,149900
8751,61,3,2,139000
7014,74,3,17,149900
4462,58,3,4,127000
7014,63,3,1,140000
6660,45,1,2,129000
8751,104,4,1,135000
8751,59,3,0,106200
3230,91,3,-1,150000
2174,35,2,1,117000
6660,65,3,0,115000
3473,59,3,8,155000
2172,53,2,8,160000
5302,66,3,4,155000
2402,48,2,4,145000
8751,59,3,2,100300
6660,65,3,0,115000
2462,63,3,3,135000
2462,60,3,4,160000
8751,57,3,2,115300
8751,58,2,1,117600
8751,57,3,1,115300
8751,58,2,3,117600
8751,61,3,2,117000
3511,41,2,1,124900
2973,52,2,11,159000
3230,41,2,18,109000
8751,104,4,2,135000
3062,48,3,3,144000
2462,60,3,4,160000
3763,64,3,0,134400
2462,64,3,3,135000
3511,56,3,1,160000
2645,66,4,-1,150000
2174,80,4,2,155000
3796,48,2,16,134900
7014,61,3,3,139000
7014,49,2,3,120000
672,66,3,-1,155000
3796,57,2,8,149000
6554,46,2,1,112000
6660,58,2,11,125000
2976,44,2,5,154000
2174,44,2,5,154000
2462,38,2,3,130000
4462,65,2,2,120000
3796,57,2,8,149000
7524,52,2,2,140000
2402,66,2,-1,150000
6554,64,3,6,140000
4168,71,3,3,157000
3796,72,2,8,159000
3381,73,3,1,129000
2462,60,3,4,160000
4462,46,3,5,120000
3796,57,2,8,149000
3230,62,2,5,157000
347,26,2,-1,103000
6660,66,2,13,145000
7014,63,2,0,135000
6660,55,2,3,139000
6660,59,2,7,149500
4181,51,2,2,105000
8751,56,3,1,100800
3511,56,3,1,160000
4593,53,2,2,140000
3062,51,2,3,150000
3473,44,1,2,125000
347,25,1,1,117300
4272,38,1,4,110000
8751,55,3,2,103300
8751,55,3,2,103300
8751,55,3,2,103300
7524,53,2,3,150000
3230,47,1,5,150000
7524,50,2,5,127500
7014,46,2,5,135000
6073,50,2,1,132000
3796,41,2,1,109000
2976,36,2,1,120000
2645,35,2,1,144000
1540,42,2,0,140000
3511,43,2,2,150000
2462,34,1,3,105000
6073,45,1,13,110000
2172,53,2,8,160000
4462,65,2,4,120000
5678,79,3,14,158000
1540,64,3,3,133000
6660,65,3,0,115000
672,37,2,4,125000
2174,55,2,3,143000
4593,71,3,1,159900
1540,42,2,0,130000
5302,43,2,1,130000
3796,51,2,7,160000
3796,57,3,8,149000
6073,48,2,3,149900
2801,60,2,0,135000
7014,61,2,3,139000
3230,44,2,18,109000
347,42,2,0,140000
672,45,2,0,125000
672,45,2,-1,125000
1540,46,2,-1,129000
7524,72,3,4,155000
3511,48,1,2,143000
3230,47,1,5,150000
1540,50,2,-1,118000
8751,59,2,1,135700
6660,45,2,6,117000
6660,39,2,8,119900
7524,42,2,3,160000
3230,41,2,18,109200
3511,38,2,8,104000
